sim_id,err,design,theta_hat,Eb2,se_hat_add,se_hat_unadj,se_hat_cgm,se_hat_iid,denom,EnV2,Ea2,B_ab,B_bb,B_bV,B_aV,B_eps,leak,leak_row,leak_col,leak_own,coupling
6,-0.07388440816220021,rep_mean_S10,0.9261155918377998,0.40393910874538497,0.05616308069813542,0.04065350460372823,,,,,,,,,,,,,,,
6,-0.07157613295258736,rep_median_S10,0.9284238670474126,0.40393910874538497,0.05011029454911939,0.040630722882554926,,,,,,,,,,,,,,,
6,-0.0016603399768717608,rep_prediction_S1,0.9983396600231282,0.3660536210199659,0.03634125870778787,,0.033238451124760204,0.014695073061493142,1.209991801310532,0.9161080484565058,0.40350960892684884,0.3164240600141433,-0.3660536210199659,0.036084934082970005,0.0061300044976460265,0.005405624665803806,0.03843387668931487,0.03613935585158668,0.002294520837728194,-0.002348942606344876,0.37348383424698106
6,-0.007968357589469344,rep_prediction_S2,0.9920316424105307,0.26386089294903875,0.03875426176981347,,0.035651269566569645,0.015196583975175162,1.1547870894927523,0.9161080484565058,0.2831042100614113,0.2266132459386275,-0.26386089294903875,0.012590925956396116,0.01690088827927702,-0.0014459236940427556,0.01310223394307357,0.024310585858281573,-0.011208351915208005,-0.0005113079866774519,0.35525768932836643
6,-0.03527534951142508,rep_prediction_S5,0.9647246504885749,0.20707236160647563,0.043977137777897087,,0.04114366471764993,0.015532108639342247,1.13531290699478,0.9161080484565058,0.20496592303235878,0.17408788560605942,-0.20707236160647563,-0.006066248465899301,0.016895574447452412,-0.017893409580209966,-0.004266811097571387,-0.0017162986952048024,-0.002550512402366586,-0.0017994373683278993,0.3084067469519722
6,-0.047393057443971376,rep_prediction_S10,0.9526069425560286,0.19346806682650763,0.04190810470013113,,0.039033724559209934,0.015254979568401439,1.1442833230625755,0.9161080484565058,0.19302251370642526,0.16562813124927758,-0.19346806682650763,-0.017353603889781063,0.01570667352706065,-0.024744219322132714,-0.015613427205603029,-0.008565163351201603,-0.0070482638544014245,-0.0017401766841780406,0.28549578718801744
7,-0.029522956748049167,rep_mean_S10,0.9704770432519508,0.5674320176746157,0.04086585039352488,0.02982149154921582,,,,,,,,,,,,,,,
7,-0.02858380072889899,rep_median_S10,0.971416199271101,0.5674320176746157,0.036915903831492174,0.029959167181283657,,,,,,,,,,,,,,,
7,-0.06856792820206137,rep_prediction_S1,0.9314320717979386,0.7544600019181773,0.033053180951003146,,0.030556638348502776,0.01260330924584823,2.057510224057949,1.2721245821277407,0.655613735361088,0.6039556431388579,-0.7544600019181773,-0.015462820006015407,0.008762375927416044,0.016125589539706147,-0.013354532854004519,0.062451665366720206,-0.07580619822072474,-0.0021082871520108726,0.26795648607952915
7,-0.03301165101674619,rep_prediction_S2,0.9669883489832538,0.4174712819711385,0.03134202704599267,,0.02858486209474732,0.012855686180508223,1.775261489535564,1.2721245821277407,0.4032987397731046,0.35531799240884615,-0.4174712819711385,-0.04283281271834253,0.02699990410076056,0.019381885423857395,-0.0405531800813295,0.020756892499157506,-0.06131007258048701,-0.0022796326370130167,0.2638122469323884
7,-0.014923594206605273,rep_prediction_S5,0.9850764057933947,0.28939182920495166,0.029778624311803708,,0.02683491553631998,0.01291102129788508,1.6824752415599384,1.2721245821277407,0.28324164641702676,0.25593897960707757,-0.28939182920495166,-0.060479415113623015,0.04019353669478512,0.028630150249011346,-0.05721359375089664,-0.009148318286061594,-0.048065275464835036,-0.0032658213627263745,0.20994205874691566
7,0.00019504805517844837,rep_prediction_S10,1.0001950480551784,0.2318873252374241,0.02752851190821473,,0.024336084109347365,0.012869126283838269,1.638739339250122,1.2721245821277407,0.224777377071388,0.20766304254265736,-0.2318873252374241,-0.06736371594247863,0.054371025010395965,0.03753660654791446,-0.06478924146558812,-0.01374255479131548,-0.05104668667427264,-0.0025744744768905073,0.17827027493275774
8,-0.0820796372790864,rep_mean_S10,0.9179203627209136,0.32333718228685837,0.04821248683829004,0.037000742436117735,,,,,,,,,,,,,,,
8,-0.0832574740258556,rep_median_S10,0.9167425259741444,0.32333718228685837,0.0393578928481792,0.03626413889754212,,,,,,,,,,,,,,,
8,-0.08491240651111576,rep_prediction_S1,0.9150875934888842,0.3636292721072204,0.036449286619838595,,0.03230346650806193,0.01688508669364671,0.9905057231256293,0.7280651375617111,0.39508816279785797,0.3127155731886045,-0.3636292721072204,0.050594343271651084,-0.06491697030389254,-0.018869898662772683,0.047975977547013056,0.07157414908375764,-0.023598171536744587,0.0026183657246380367,0.366544441693265
8,-0.058197869122939117,rep_prediction_S2,0.9418021308770609,0.24550621170205905,0.03535990063139631,,0.030714543785039294,0.017521824317373532,0.8815945087347178,0.7280651375617111,0.2794262344545121,0.22702839872522912,-0.24550621170205905,0.04598842026452618,-0.06090365880780996,-0.017913870318731224,0.04434815979341042,0.06874729604523146,-0.02439913625182102,0.0016402604711157477,0.28869187551199715
8,-0.06507404630412073,rep_prediction_S5,0.9349259536958793,0.1964771444461172,0.036431586496257606,,0.031868489683185855,0.01765604619842401,0.8243725563378965,0.7280651375617111,0.20837939325812427,0.1790303459624545,-0.1964771444461172,0.05008486283496583,-0.0713290985432603,-0.01495422371102157,0.0501119413804708,0.06383137261105006,-0.01371943123057925,-2.707854550497977e-05,0.23817450070975504
8,-0.050843373088773736,rep_prediction_S10,0.9491566269112263,0.14931795338889525,0.03625512601054337,,0.03153762250855288,0.017885486486141966,0.795426096361166,0.7280651375617111,0.16411218687862889,0.1386883720322758,-0.14931795338889525,0.04097849729472018,-0.06415786127846584,-0.00663320044147257,0.04111068203604297,0.044496827932086716,-0.0033861458960437493,-0.00013218474132278737,0.24145385993251767
9,-0.0740156755120529,rep_mean_S10,0.9259843244879471,0.5260845920692492,0.044039291938553396,0.03907919764095233,,,,,,,,,,,,,,,
9,-0.07392116210029998,rep_median_S10,0.9260788378997,0.5260845920692492,0.04188681953941935,0.03965929031710591,,,,,,,,,,,,,,,
9,-0.0940436533450354,rep_prediction_S1,0.9059563466549646,0.46468673174828107,0.04194471368060263,,0.03945776368906436,0.014230015012401115,1.507168899114958,1.0912242860923227,0.45403276007580284,0.37601063879754043,-0.46468673174828107,0.02437105936282287,-0.027317024991509852,-0.050117610901358134,0.021274702539676896,0.052007717188341754,-0.030733014648664864,0.00309635682314598,0.35873245961174277
9,-0.05466314888802637,rep_prediction_S2,0.9453368511119736,0.37798304209931766,0.03708584128104896,,0.034355955095558055,0.013966946655364056,1.4279791677352818,1.0912242860923227,0.37494166828143743,0.3290927702493773,-0.37798304209931766,0.020614080228179406,-0.009289171241061121,-0.040492474992091534,0.02006609092593075,0.03378629086450864,-0.013720199938577881,0.0005479893022486506,0.2506439689881833
9,-0.038047737299873874,rep_prediction_S5,0.9619522627001261,0.2785576026886897,0.03370099693575162,,0.03053644061674298,0.014259475119344557,1.266056939210579,1.0912242860923227,0.22393274872670482,0.2202069083265677,-0.2785576026886897,0.05186247478521672,-0.013714695352877022,-0.027967686899984315,0.05120545888536284,0.04522325669110373,0.00598220219425912,0.000657015899853864,0.22284990308318592
9,-0.039961065297240306,rep_prediction_S10,0.9600389347027597,0.2665864917266526,0.03524004058683461,,0.03209517318006358,0.014553763466028817,1.2187948228993568,1.0912242860923227,0.21436992627519194,0.21456598965929885,-0.2665864917266526,0.06950797745980924,-0.033825878828137285,-0.032365936066137864,0.06801646551502064,0.04669354762579896,0.021322917889221665,0.0014915119447886122,0.19440009262129312
10,-0.08395368131181125,rep_mean_S10,0.9160463186881888,0.432605625015393,0.033787512804456715,0.030578356424461287,,,,,,,,,,,,,,,
10,-0.08449670256795228,rep_median_S10,0.9155032974320477,0.432605625015393,0.03460363791972509,0.030825284366743654,,,,,,,,,,,,,,,
10,-0.1018589475695032,rep_prediction_S1,0.8981410524304968,0.4717866329463723,0.03071595783871595,,0.027686584720093107,0.013302868004654963,1.539486047564499,0.9292225170655533,0.39553316370358305,0.3498440834195264,-0.4717866329463723,-0.06923844877628668,0.053329886555830146,-0.018959316855551533,-0.06921543757382248,-0.0299641051584411,-0.03925133241538138,-2.301120246421304e-05,0.3553123766224999
